date,follower
2022-10-23,624542
2022-10-22,624484
2022-10-21,624249
2022-10-20,624205
2022-10-19,623875
2022-10-18,623462
2022-10-17,622997
2022-10-16,622468
2022-10-15,621844
2022-10-14,621251
2022-10-13,620652
2022-10-12,620240
2022-10-11,619629
2022-10-10,618862
2022-10-09,618086
2022-10-08,616932
2022-10-07,615842
2022-10-06,615216
2022-10-05,614815
2022-10-04,614146
2022-10-03,613384
2022-10-02,612502
2022-10-01,611960
2022-08-25,591660
2022-08-24,590924
2022-08-23,590220
2022-08-22,589373
2022-08-21,588654
2022-08-20,587699
2022-08-19,587401
2022-08-18,586486
2022-08-17,585844
2022-08-16,585036
2022-08-15,584320
2022-08-14,583521
2022-08-13,582830
2022-08-12,581623
2022-08-11,579754
2022-08-10,578496
2022-08-09,577656
2022-08-08,576933
2022-08-07,576194
2022-08-06,575700
2022-08-05,575021
2022-08-04,574058
2022-08-03,572937
2022-08-02,571897
2022-08-01,571236
2022-07-31,570222
2022-07-30,569313
2022-07-29,568423
2022-07-28,567663
2022-07-27,567159
2022-07-26,566394
2022-07-25,565562
2022-07-24,564721
2022-07-23,563851
2022-07-22,563432
2022-07-21,562700
2022-07-20,562272
2022-07-19,561776
2022-07-18,561224
2022-07-17,562046
2022-07-16,565731
2022-07-15,564114
2022-07-14,562398
2022-07-13,561221
2022-07-12,559845
2022-07-11,558388
2022-07-10,557019
2022-07-09,555829
2022-07-08,556169
2022-07-07,555925
2022-07-06,554673
2022-07-05,553514
2022-07-04,551902
2022-07-03,550044
2022-07-02,548235
2022-07-01,545721
2022-06-30,544282
2022-06-29,543122
2022-06-28,541138
2022-06-27,539216
2022-06-26,537686
2022-06-25,531258
2022-06-24,529591
2022-06-23,528248
2022-06-22,526281
2022-06-21,524021
2022-06-20,522161
2022-06-19,520809
2022-06-18,519400
2022-06-17,518235
2022-06-16,517441
2022-06-15,516302
2022-06-14,515268
2022-06-13,514336
2022-06-12,513418
2022-06-11,512547
2022-06-10,511740
